subject,content
Re: Nordic Power Documentation Project,Martin: Thanks for the update! It looks like great progress in being made. Mark
Legal Committee Meetings,The Legal Committee meeting normally held every other Monday in conjunction with the OGC meeting will not be held for approximately two months. The OGC meetings will continue every Monday morning as usual beginning 8:30 am Central time. You will be notified when the Legal Committee meetings resume. Thank you.
Re: Corporate Charges,Kristin: Kevin is very concerned with this charge. Why is litigation now being billed up front? Why is there a 50% increase in corporate legal? Why is there a 100% increase in corporate secretary? Why are we billed for the library when we use primarily electronic sources? Could you please work on the answers to these questions and get back to me. Mark
Re: update,Thanks for the update. Keep spending time getting advice from Barbara. Mark
Re: NASDAQ Due Diligence - in connection with Mariner Energy LLC,I am confirming. Mark
Hypotheticals,Please review the attached hypos and give me comments. How do I make 2 and 3 better? What other hypos should I add? Maybe one geared more toward Alberta? Mark
CPS BEAR Volunteers,Thanks so much for your help on the BEARing gifts program! It is a great cause and your help will make Christmas a lot happier for a lot of kids who really have very difficult lives. Most have never received anything new. Have a great holiday season! Mark Haedicke
Re: BNA Energy Executive Daily 11/4/99,Please do not send me these messages as I do not have time to read them. Mark
Re: Board meeting,yes
Re: State Bar of Michigan e-Journal - 6/23/99,Please do not send me the reports anymore as I do not have time to read them. Mark
Re: 99.10.27 Newsletter,Please stop sending the newsletter to me. Mark
OGC Meeting re PRC Matters,There will be an OGC meeting this afternoon from 1:30 to 2:30 PM in EB38C2 regarding PRC matters. Please plan to attend.
"Re: EEI Update- Standardized Master Purchase and Sale Agreement and
 Into Definition Conference Call",I would like to sit in from 230 to 300. Thanks. Mark
Dabhol LNG Contracts,Please find attached my draft summary relative to the above contracts. Let me know if you have any corrections. Mark Haedicke
Re: Referral of 1500 MW Project to Enron NA,Thanks for the heads up! Mark
Re: VISION AND VALUES AT ENA,I would suggest Dan Lyons from ENA Legal for Vision and Values. Mark
Re: Conflict Clearance,I think it must be in Moran's area. Mark
Re: First Polish Deal!,Congrats! Things seem to be building rapidly now on the Continent. Mark
Re: (no subject),You would need to start out in the associate program. Good luck. Mark
Re: Power Financial Contracts Documentation,I am only aware of the Edison Institute effort which is a physical power contract. I think he was probably mistaken. Mark
Top Ten Legal Risks,Please use the form attached when preparing the top ten risks for your businesses. Please be brief!
Re: Dow Jones Article re EEI Contract,I will call Mark Golden to respond in a few days. I don't think this is entirely negative for us. We can use it to get the products we want. Mark
Re: Norwegian Commodity Derivatives Committee,That sounds like good news to be part of the process. Thanks. Mark
Net  Works,Greg Piper raised the following questions: Is ENW a marketing affiliate? Is EOL a marketing affiliate? Sally Beck's organization? Can Beck's organization process transactions for CMS pipelines? Could Sally use ETS resources to do processing for CMS? Greg is looking for some guidance by Tuesday. Let's discuss. Mark
Re: Houston Meetings,I look foward to meeting you. I have asked my assistant to get time scheduled. Mark
Re: thank you letters to Sachs and Rainer,Both letters are fine. Please arrange dates for the Chairman to come to Houston. Thanks for all of your help. Mark
Re: Fountain Valley--We're done!,Congrats on another one done! Mark
Proposed ELJ Article,Please provide me your comments on the following outline: Trading Contracts for Global Commodity Markets 1. Evolution of Trading Contracts Since 1990 2. Trading in 2001: Living with Multiple Master Agreements a. North America b. Europe c. other 3. Globalization of Commodity Trading 4. Lessons from the California Crisis 5. Deregulation Marches Forward 6. The Vision a. single global master for physical and financial trading b. use master netting agreements in transition phase c. focus on confirmations and schedules for new products
Re: Mexican Legal Fees,Thanks for the info. Next year we want to run those fees through legal before they are allocated out. Mark
Re: Alice Ginsburgh,Thanks for the resume. Mark
Re: Project Monte/MB&P Fees and Expenses,Wow! Dan please go ahead and make the call and be sure to let them know we are schocked at the amount of the billing! Mark
Save the Date -- Star Wars:  The Magic of Myth,The Museum of Fine Arts Houston
Re: HCCPS Board Meeting,I will see you there.
Invitation - Star Wars:  The Magic of Myth,Please click on the link below for the invitation to the museum.
ADR Provision,See attached.
SoCal Edison Cease & Desist,I talked to Christian Yoder today. He and Steve Hall will be talking tomorrow morning about whether we should file anything at FERC. I will be on an airplane tomorrow morning so please let me know what we are doing. Thanks.
Who's scheduling for who,Here's what I hear about who's scheduling what: The UDCs are scheduling their own g & t CDWR is scheduling for all UDCs (including SDG&E) in the bilateral market for day ahead and day of CDWR is scheduling for all the UDCs (including SDG&E) in the ISO real time market
Two more large customers,Georgia Pacific and Bellingham Cold Storage are also large Puget customers. Attached for your information is a settlement they executed with Puget.
Whalen letter,I'd like to clean this up a little more but here is my first crack on what we should send. I left in two paragraphs that are repetitive that relate Stan's conversation with Nevada Power in September. Stan would you draft these two paragraphs together and make them factully correct? Thanks.
CTS Tariff Provisions,Attached find key provisions of the CTS tariff that may be useful in discussions in the next couple of days.
Please read - Important information about TRO,Richard Sanders just called me from the court house. Please do not release any information about the TRO until we hear otherwise from Richard. Thanks.
The ISO is now cutting our exports,In addition to the ISO derating its own available transmission capacity (exporting) at the California Oregon Border (so that people can't buy transmission from the ISO to export power) the ISO is now threatening to cut our exports from California using transmission rights that we have purchased from a muni that is not part of the ISO's grid.
Questions you requested,The Q and A you asked me to draft are attached.
Emergency RCR,CalISO filed a tariff to charge scheduling coordinators FERC's annual charge. The ISO should charge end users (transmission customers). As you know we just got FERC to rule that marketers don't have to pay the annual charges. Tim wants to protest. Protests due 1/19! Please respond ASAP.
Emergency RCR,CalISO filed a tariff to charge scheduling coordinators FERC's annual charge. The ISO should charge end users (transmission customers). As you know we just got FERC to rule that marketers don't have to pay the annual charges. Tim wants to protest. Protests due 1/19! Please respond ASAP.
Cal ISO Order 2000 compliance filing,Attached find the Cal ISO's Order No. 2000 filing. It basically proposes nothing
Summary of FERC's 12- 15 order on California Markets,Cool Christmas gift! Thank you. Attached is my feeble attempt at returning the favor.
EPSA answers,Would you please send us EPSA's proposed answers to Hoecker's questions?
Who's scheduling for who,Here's what I hear about who's scheduling what: The UDCs are scheduling their own g & t CDWR is scheduling for all UDCs (including SDG&E) in the bilateral market for day ahead and day of CDWR is scheduling for all the UDCs (including SDG&E) in the ISO real time market
Addresses,I hope this is what you were wanting if not please let me know.
Two more large customers,Georgia Pacific and Bellingham Cold Storage are also large Puget customers. Attached for your information is a settlement they executed with Puget.
Whalen letter,I'd like to clean this up a little more but here is my first crack on what we should send. I left in two paragraphs that are repetitive that relate Stan's conversation with Nevada Power in September. Stan would you draft these two paragraphs together and make them factully correct? Thanks.
CTS Tariff Provisions,Attached find key provisions of the CTS tariff that may be useful in discussions in the next couple of days.
Please read - Important information about TRO,Richard Sanders just called me from the court house. Please do not release any information about the TRO until we hear otherwise from Richard. Thanks.
Credit Union 2001 Survey - 2 Minutes Could Get You $200,2 Minutes Could Get You $200 Enron Federal Credit Union 2001 Survey
The ISO is now cutting our exports,In addition to the ISO derating its own available transmission capacity (exporting) at the California Oregon Border (so that people can't buy transmission from the ISO to export power) the ISO is now threatening to cut our exports from California using transmission rights that we have purchased from a muni that is not part of the ISO's grid.
Questions you requested,The Q and A you asked me to draft are attached.
Re: APPLICATION FOR MBR PURCHASES FROM Industrials,I agree.
Emergency RCR,CalISO filed a tariff to charge scheduling coordinators FERC's annual charge. The ISO should charge end users (transmission customers). As you know we just got FERC to rule that marketers don't have to pay the annual charges. Tim wants to protest. Protests due 1/19! Please respond ASAP.
